"","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","GlassType","K.sqrt","Ba.sqrt","Fe.sqrt","GTF","outm1","outm2","outm3","outm"
"7",1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,1,0.761577310586391,0,0,"1","1","1","1","1"
"14",1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,1,0.734846922834953,0,0.412310562561766,"1","1","1","1","2"
"15",1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,1,0.761577310586391,0,0,"1","1","1","1","2"
"17",1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0,1,0.781024967590665,0,0,"1","1","1","1","1"
"23",1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,1,0.768114574786861,0,0,"1","1","1","1","1"
"24",1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1,0.787400787401181,0,0,"1","1","1","1","2"
"25",1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1,0.707106781186548,0,0,"1","1","1","1","1"
"27",1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1,0.768114574786861,0,0,"1","2","2","2","2"
"29",1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,1,0.754983443527075,0,0,"1","1","1","2","2"
"33",1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1,0.781024967590665,0.3,0.469041575982343,"1","2","1","1","2"
"34",1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06,1,0.774596669241483,0,0.244948974278318,"1","1","1","1","2"
"41",1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,1,0.8,0,0,"1","1","1","1","1"
"43",1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,1,0.768114574786861,0,0,"1","1","1","1","2"
"47",1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,1,0.754983443527075,0,0.4,"1","1","1","1","2"
"48",1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,1,0.14142135623731,0,0.316227766016838,"1","2","1","1","2"
"53",1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,1,0.741619848709566,0,0,"1","1","1","1","2"
"55",1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,1,0.714142842854285,0,0.3,"1","2","1","1","2"
"60",1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,1,0.754983443527075,0,0.33166247903554,"1","1","1","1","2"
"62",1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,1,0.346410161513775,0.830662386291807,0,"1","2","1","1","1"
"64",1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,1,0,0,0,"1","2","1","1","1"
"65",1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1,0.424264068711929,0,0.264575131106459,"1","1","1","1","1"
"66",1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,1,0.3,0,0,"1","1","1","1","1"
"68",1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1,0.435889894354067,0,0.412310562561766,"1","1","1","1","1"
"71",1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,2,0.4,0,0.346410161513775,"2","6","2","2","2"
"73",1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,2,0.818535277187245,0,0,"2","2","2","2","2"
"79",1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,2,0.608276253029822,0,0.374165738677394,"2","1","1","1","2"
